Ensembl	Gene Symbol	TPM
ENSG00000001167	NFYA	11.09
ENSG00000004848	ARX	0
ENSG00000005073	HOXA11	0.11
ENSG00000005102	MEOX1	0.01
ENSG00000005436	GCFC2	5.34
ENSG00000005513	SOX8	0
ENSG00000005801	ZNF195	18.78
ENSG00000005889	ZFX	20.95
ENSG00000006047	YBX2	0.09
ENSG00000006194	ZNF263	6.73
ENSG00000006377	DLX6	0
ENSG00000006468	ETV1	12.99
ENSG00000006704	GTF2IRD1	9.26
ENSG00000007372	PAX6	0
ENSG00000007866	TEAD3	11.44
ENSG00000007968	E2F2	0.4
ENSG00000008083	JARID2	12.16
ENSG00000008196	TFAP2B	0
ENSG00000008197	TFAP2D	0
ENSG00000008441	NFIX	21.8
ENSG00000009307	CSDE1	197.51
ENSG00000009709	PAX7	0
ENSG00000009950	MLXIPL	0.09
ENSG00000010030	ETV7	0.7
ENSG00000010244	ZNF207	186.6
ENSG00000010539	ZNF200	3.76
ENSG00000010818	HIVEP2	6.69
ENSG00000011451	WIZ	12.57
ENSG00000011590	ZBTB32	0
ENSG00000012223	LTF	0.02
ENSG00000012504	NR1H4	0.01
ENSG00000016082	ISL1	0
ENSG00000018869	ZNF582	1.66
ENSG00000019485	PRDM11	1.5
ENSG00000019549	SNAI2	129.76
ENSG00000020256	ZFP64	15.19
ENSG00000020633	RUNX3	0.53
ENSG00000025156	HSF2	9.3
ENSG00000025434	NR1H3	5.96
ENSG00000028277	POU2F2	1.12
ENSG00000029153	ARNTL2	11.24
ENSG00000029363	BCLAF1	33.96
ENSG00000029639	TFB1M	28.45
ENSG00000029993	HMGB3	29.54
ENSG00000030419	IKZF2	5.74
ENSG00000032219	ARID4A	2.19
ENSG00000033800	PIAS1	35.14
ENSG00000037965	HOXC8	3.85
ENSG00000039600	SOX30	0.02
ENSG00000041988	THAP3	4.8
ENSG00000043039	BARX2	0.02
ENSG00000043355	ZIC2	0.27
ENSG00000048405	ZNF800	12.2
ENSG00000049618	ARID1B	15.96
ENSG00000049768	FOXP3	0.18
ENSG00000050344	NFE2L3	6.08
ENSG00000052850	ALX4	0
ENSG00000053254	FOXN3	3.59
ENSG00000054267	ARID4B	4.31
ENSG00000054598	FOXC1	3.96
ENSG00000055609	KMT2C	6.42
ENSG00000056277	ZNF280C	2.61
