symbol1	symbol2
ESRRG	PROX1
ESRRA	HOXD11
PITX1	HOXA4
MYOD1	MAFB
UNCX	MNX1
NKX2-2	EMX2
HOXB8	HOXA5
NCOR1	STAT5A
HOXD10	VSX2
HOXA2	HLX
DMRTC2	DMRTA2
KHSRP	MAEL
PPARG	NFE2L2
ZNF808	ZNF148
SIX6	PAX2
RXRB	NKX2-1
JUN	PPARG
HMX2	HOXC13
NSD2	TMF1
VDR	NR5A1
ZNF260	ZFP30
ZNF621	ZNF589
PPARG	OTP
CENPA	HMG20A
CREB1	ATF7
ETV1	RUNX1
GBX2	FOXC2
UNCX	CRX
HOXA3	HOXB7
HOXC4	MIXL1
SRF	CREB3L3
YY1	RBPJ
CREB5	CREB5
SOX8	HHEX
OTX1	POU5F1
JUN	AHR
TLX1	PAX8
EN2	PITX1
NKX2-5	LHX9
RARA	SRF
ZNF260	ZNF662
PPARG	NFE2
NR0B1	HMBOX1
MEOX2	VEZF1
DLX5	DLX2
FOXO3	FOXF1
ZNF248	ZNF148
ZNF823	ZNF662
SPI1	PBX2
HMGB2	SOX7
HOXB8	STAT5B
POU3F2	PRRX2
HOXD13	RAX2
POU3F1	POU3F1
RHOXF1	PHOX2B
PAX6	STAT5B
NR1I2	NR6A1
PBX3	GSX2
STAT5B	REL
FOSL2	JDP2
CEBPZ	ZNF746
ZEB2	MESP1
RFX6	GATA6
STAT1	SMAD1
VENTX	GSX2
NCOR1	YY1
TCF4	ZNF124
RBPJ	ZNF589
ZEB1	HHEX
DLX3	OTX1
PAX4	NKX2-1
SOX2	GBX2
SP1	CREM
ZIC3	TWIST1
SOX2	FOXC1
IRF2	STAT6
CRX	RHOXF1
HOXA5	VSX1
LMX1A	VAX2
POU3F1	HOXB13
IKZF5	IKZF5
FOXE1	NFIC
POU3F3	SATB1
UNCX	NKX2-3
PHB	HIF1A
HOXB6	HOXA5
VDR	ESRRA
DLX5	NR4A3
HOXD9	POU6F2
PAX4	IRX5
TCF4	TCF12
ZNF23	ZNF559
ATF3	ID3
ALX3	BARHL1
ETV3	JDP2
NFYA	ATF6B
BHLHE40	PLAGL1
RARB	RORA
THRA	HOXB1
NSD2	E2F1
ZNF609	NANOG
SIX1	HOXC10
HMGB1	ZNF24
SP1	SRF
LMX1B	BARX1
BHLHE40	NR4A1
EN1	POU2F3
FOXO3	STAT3
TEF	HES6
ZFP64	ZNF70
HIVEP1	ZHX3
ZNF444	ZKSCAN3
HOXD8	LEF1
HSF2	ETV7
HOXC9	POU4F3
FOXK1	FOXC2
ZNF12	ZNF419
PROP1	ZHX2
HOXA7	HOXA4
RBCK1	RBCK1
ESRRA	NCOR2
PROP1	GBX2
HOXD3	EN1
PBX2	PRRX1
FOXF2	FOXD3
MEIS2	HOXB8
NR1D1	E2F1
E2F6	MBD1
HOXD3	ZFHX3
TCF3	MYF6
RARA	SMARCE1
HLX	ONECUT1
ZSCAN29	IKZF2
JUN	NFATC2
TAL1	GATA2
ZNF585A	ZNF331
ZEB2	ZBTB7A
DLX1	DLX2
IRF1	SMARCC2
NR5A2	NR2E3
HOXA2	POU1F1
MYB	NFE2
ZBTB16	ALX4
STAT3	MEF2A
GSC2	KLF13
MECP2	RBAK
HOXD8	MEOX2
MBD3	GATAD2B
HOXB7	POU3F4
TERF2	ZKSCAN4
AR	PAX3
CREB1	LEF1
NR4A2	EGR3
PDX1	LHX9
TCF4	TCF3
NR2C1	NCOR2
PBX2	POU3F4
NKX2-4	BARX2
HOXA1	TP63
SALL3	SALL4
ZNF354A	ZNF367
SMARCA1	POU6F2
HMX3	PITX2
POU2F2	CDX2
PKNOX1	ZHX2
RARA	ZNF423
HMGB2	KMT2C
LBX1	ESR2
NCOR1	SMARCE1
MSC	ID2
POU3F2	MEOX2
PAX3	DLX4
DLX2	NKX2-3
DLX2	HOXB13
PAX4	BARHL1
ZNF18	ZNF408
MYCN	STAT5A
SHOX2	MSX2
TLX3	PBX3
FOXK2	E2F2
ZNF688	MZF1
SOX1	DLX1
ZNF217	HIC1
CEBPB	NFIL3
HMBOX1	NANOG
NR3C1	HMGB1
HOXB5	EN1
SATB1	ALX1
IRX5	OTP
E2F2	SMARCC1
HOXC4	HOXC8
CRX	POU3F4
PAX4	ZEB1
ID1	MEF2A
HOXD13	ZHX3
ZNF432	ZNF585A
NKX3-2	RAX
ELK1	YBX1
MYBL2	TFDP1
PAX3	DMBX1
HOXC11	IRX1
ARGFX	DLX2
HIF1A	BHLHE41
POU3F4	LBX2
DLX6	PHOX2B
TEAD1	MEF2C
SOX9	TEAD4
NR4A2	ESR2
KLF16	MIXL1
HOXD11	GSX2
DLX6	SIX1
NR5A2	NCOR1
HMX3	LHX3
POU5F1B	GATAD2B
GLI3	GLI3
SALL3	GSX2
EMX2	OTP
HOXA13	PRRX2
PIAS1	SATB1
NR2F6	THRB
AR	SMAD4
CEBPB	CEBPG
SP3	VAX1
SMAD3	ZNF768
NR2C2	RORC
SIX1	TP63
HOXB4	LHX1
ZNF253	ZNF260
NCOR1	TMF1
HOXA10	LEF1
USF1	ZNF423
ZKSCAN4	ZNF446
CUX1	PRRX2
DBX2	HOXC10
STAT5A	NKX2-3
GATAD2A	RCOR1
ZNF20	ZSCAN5A
HOXC8	RUNX2
BACH1	ZBTB45
HOXB8	MEOX2
TLX1	IRX4
PHB	NFKB2
HOXA11	BARX1
HOXA3	OTX1
ZNF254	ZNF836
IRF2	JDP2
HOXD10	ALX1
SMAD2	TBX15
POU3F4	PAX2
OTX2	LHX5
POU3F1	POU5F1B
SRY	SRY
ZBTB5	ZFP37
POU3F3	ISX
IRF2	ELF1
ZNF25	ZNF570
PITX1	POU6F1
PIAS1	ATF3
HMX2	VAX2
MSX1	DLX6
NKX2-1	ZHX2
ZNF446	ZSCAN32
ZEB2	TERF1
MYB	HIF1A
ZNF155	ZNF256
PGR	HOXA13
ZNF136	ZNF57
POU3F4	BARX2
E2F8	TFCP2
HOXA13	PBX2
HOXC13	FOXC2
MYB	PPARG
HOXB4	NR2F2
GSC2	POU4F2
MZF1	IRF3
ZSCAN20	ZNF445
TP73	MYC
SETDB1	SNAPC4
PRDM8	VSX1
HOXC6	NKX3-1
ALX3	NKX2-3
MXD1	HMG20B
PITX1	ALX4
POU5F1	FOXC2
MTA1	MIER1
RARA	NKX2-1
ETV1	ELF4
POU3F1	PAX8
HOXB3	PRRX1
UNCX	MSX2
MEOX2	HLX
HOXA7	PBX2
POU1F1	BARHL1
ZNF559	ZNF256
HOXC11	BARX1
NR0B1	PPARA
ZNF268	ZNF516
HMX3	TLX2
POU2F1	STAT5A
HOXC8	HOXC12
GBX2	LEF1
NKX2-5	LBX1
NR5A2	ZFHX3
PAX2	E2F4
HOXD4	HOXA6
MEIS2	PBX2
HOXB7	HOXA10
NKX2-5	OTP
SNAI1	RCOR3
ZEB2	MSX2
PIAS1	ZNF76
MEIS1	NANOG
ZNF35	CDC5L
HNF4G	NR1D2
TLX2	HOXB1
E2F6	ZEB1
SHOX2	KLF10
TAL1	YY1
ETS2	MYOD1
KLF11	HBP1
PIAS2	SOX10
PKNOX1	LHX5
KLF8	ZFPM2
SHOX2	SIX3
PROP1	SIX1
UNCX	POU3F2
LBX1	ARX
ZNF92	ZNF566
ARGFX	DLX5
BCL6	NFIL3
JUNB	EGR1
LBX1	OTP
SALL4	ZNF148
HOXA3	ETS2
FOXE1	PBX2
SOX11	POU2F3
HOXD9	PAX8
SP1	SREBF1
ARNTL2	BHLHE41
POU2F1	NFKB2
LHX1	HOXC5
NKX2-1	POU4F3
ESX1	HOXD1
HMGB1	HOXB3
VAX1	GSX2
PBX2	MNX1
PGR	TLX1
ZNF155	ZFP30
ZNF23	ZNF430
STAT2	E2F1
THRA	PPARG
AR	E2F4
TLX1	LHX3
TCF21	SMAD3
ESRRB	MTA3
NKX2-2	VSX2
RUNX3	TCF7L1
TLX3	HOXA6
AR	SOX10
TADA2B	GATAD2A
HOXD8	NKX2-5
ZBTB7A	OVOL2
HOXD9	POU5F1
FOXO3	MLXIP
NR3C2	NR1H3
SP4	ZNF507
HOXA3	FOXC2
GLI2	PRDM16
ALX1	LHX8
ZNF197	ZNF232
FOXH1	FOXA3
PAX4	HOXC12
GSX1	HESX1
ZNF254	ZNF182
E2F3	AHR
IKZF3	ZNF148
FOXF2	FOXJ1
MEOX2	GATA6
SIX1	PRRX2
ELK1	SREBF1
HOXB7	HOXC6
ARID4A	SATB1
TP73	MAF
NR3C1	PBX1
GLI2	HOXD10
CEBPB	YBX1
ALX3	HOXA9
SOX15	PITX3
FOXN3	GATAD2A
POU6F1	HMBOX1
ZBTB16	BCL6B
POU3F1	ALX4
CDX4	POU6F2
RARB	SMARCE1
FOXM1	IRF5
DLX2	LHX6
ALX3	PDX1
SMAD1	IRF7
NR5A2	SP100
BACH1	BACH2
NKX2-2	SMAD2
HOXB3	VAX2
RORC	ARNTL2
HOXD11	MEOX2
BHLHE40	SALL1
SP1	GATAD2B
HKR1	ZNF584
ARGFX	UNCX
HOXA5	OTX1
NKX2-5	LBX2
MAX	FOXP3
GSC2	POU4F3
MAX	ARNTL2
ZNF197	ZFP37
NR1I2	RARB
TLX2	NKX2-5
HOXA13	NKX3-2
HOXC11	POU3F3
ZNF136	ZNF140
ATF3	NFKB1
HMGB1	POU3F3
BCL11A	NR2E1
HMX2	GFI1
HOXA3	FOXM1
NKX2-8	HOXB5
MXI1	MAX
GABPA	LEF1
ZNF493	ZNF430
YY1	HMGB2
ELF3	ELF3
PHOX2A	POU5F2
JUN	STAT5B
ZNF383	ZNF566
AR	HIF1A
KLF5	CDX2
CBX2	ZNF707
PIAS2	ZNF512B
DLX5	ELF3
EVX2	ZFHX4
TBX1	IRF2
JUN	HNF4A
POU3F4	VAX2
STAT2	SMAD2
CREB1	ZHX1
ZBTB14	ZBTB32
DMBX1	BARX2
HNF4A	RORB
YBX1	NFX1
RORA	GSX2
ETS2	KLF5
HOXB2	GSX1
HOXD13	ELF3
BATF2	EPAS1
HOXA6	NKX2-5
HOXD11	NKX2-1
ETS2	IRF3
OTP	LHX3
HOXB9	POU5F1B
ZKSCAN1	ZSCAN32
SMAD3	NFE2L2
ZNF559	ZNF559
HOXA5	HIF1A
ISX	VSX1
TAL1	STAT1
HOXA2	HNF1B
RARG	NR5A1
SHOX2	DLX6
BAZ2A	MBD1
UNCX	HOXA2
PDX1	BARX1
PAX9	VAX1
POU5F2	VAX2
ETV6	SOX2
OLIG2	OLIG1
LMX1B	SATB1
NR5A2	RARB
PGR	ATF7
CDX1	HHEX
LMX1B	HOXB1
NR1H3	NR2E1
SP1	NFIC
ZEB2	SMAD5
MAX	MNT
NR2F6	NR2E3
PPARG	HNF4A
TTF1	SMARCC1
UNCX	DLX1
MSX1	GSX2
NKX2-8	HOXA5
TERF1	TERF1
NR4A1	FOSB
TCF21	BARX1
HNF4A	ASCL2
UNCX	HOXC5
NR2F2	SP3
CRX	HOXA2
EVX2	HOXC10
AHRR	ARNT
ZNF23	ZSCAN5A
ZNF93	ZNF689
LHX4	HOXC10
SIX1	SIX1
TFAP2A	CENPA
ALX3	VSX1
FOS	MECOM
GLIS3	RREB1
ZNF606	ZNF419
POU3F3	EN1
POU2F2	NKX6-2
NKX2-2	ZEB1
HOXD13	ZHX2
TFEB	TCF12
TLX2	HOXC8
ALX4	TCF7L2
ZBTB14	REST
NFATC1	RUNX1
NR2F1	ESR2
STAT6	HIF1A
ZEB2	HLX
POU5F1	GSX2
MIXL1	FOXA2
HOXB8	HESX1
RORA	NPAS2
MYC	USF1
HMX2	ONECUT2
HOXA9	NKX2-4
FOXP2	LEF1
HOXA5	HOXD3
SALL1	SALL4
YY1	CREB3L3
OTX1	PDX1
MECP2	ZNF800
MITF	PATZ1
SP1	GATA6
FOXA1	GRHL2
NFKB1	LEF1
HOXA11	VSX1
LMX1B	POU1F1
ZFP28	IKZF3
SIX1	BSX
SP1	MXD1
HOXB13	SATB2
RARB	RARG
ZBTB16	NCOA1
BSX	ARID2
ZNF432	ZNF419
ARGFX	BARX1
KLF16	HESX1
NKX2-3	LHX3
DLX2	BSX
PAX9	TBX21
E2F3	HOXD4
PROP1	EN2
HOXB4	HOXC13
HOXA10	PBX2
MYC	SPI1
HOXB9	GSX2
SOX2	LMX1A
SMAD4	TCF7L2
HOXB6	LBX2
TWIST1	LMX1A
MSX1	BARHL1
ZNF586	ZNF180
POU3F4	POU4F2
THAP11	IKZF5
HOXB9	GSC
GFI1	MESP1
AIRE	MYC
SMAD7	POU3F2
EGR1	NFYA
WT1	PAX3
