ENSG00000001167	NFYA
ENSG00000004848	ARX
ENSG00000005073	HOXA11
ENSG00000005102	MEOX1
ENSG00000005302	MSL3
ENSG00000005436	GCFC2
ENSG00000005483	KMT2E
ENSG00000005513	SOX8
ENSG00000005801	ZNF195
ENSG00000005889	ZFX
ENSG00000006047	YBX2
ENSG00000006194	ZNF263
ENSG00000006377	DLX6
ENSG00000006468	ETV1
ENSG00000006704	GTF2IRD1
ENSG00000007372	PAX6
ENSG00000007866	TEAD3
ENSG00000007968	E2F2
ENSG00000008083	JARID2
ENSG00000008196	TFAP2B
ENSG00000008197	TFAP2D
ENSG00000008405	CRY1
ENSG00000008441	NFIX
ENSG00000008838	MED24
ENSG00000009307	CSDE1
ENSG00000009709	PAX7
ENSG00000009950	MLXIPL
ENSG00000009954	BAZ1B
ENSG00000010030	ETV7
ENSG00000010539	ZNF200
ENSG00000010803	SCMH1
ENSG00000010818	HIVEP2
ENSG00000011052	NME1-NME2
ENSG00000011451	WIZ
ENSG00000011590	ZBTB32
ENSG00000012048	BRCA1
ENSG00000012504	NR1H4
ENSG00000012817	KDM5D
ENSG00000012822	CALCOCO1
ENSG00000013561	RNF14
ENSG00000015153	YAF2
ENSG00000015171	ZMYND11
ENSG00000016082	ISL1
ENSG00000018408	WWTR1
ENSG00000018869	ZNF582
ENSG00000019549	SNAI2
ENSG00000020256	ZFP64
ENSG00000020426	MNAT1
ENSG00000020633	RUNX3
ENSG00000022840	RNF10
ENSG00000025156	HSF2
ENSG00000025293	PHF20
ENSG00000025434	NR1H3
ENSG00000028277	POU2F2
ENSG00000028839	TBPL1
ENSG00000029153	ARNTL2
ENSG00000029363	BCLAF1
ENSG00000029993	HMGB3
ENSG00000030419	IKZF2
ENSG00000032219	ARID4A
ENSG00000033800	PIAS1
ENSG00000035928	RFC1
ENSG00000036549	ZZZ3
ENSG00000037965	HOXC8
ENSG00000039600	SOX30
ENSG00000041988	THAP3
ENSG00000042429	MED17
ENSG00000043039	BARX2
ENSG00000043355	ZIC2
ENSG00000048052	HDAC9
ENSG00000048405	ZNF800
ENSG00000048649	RSF1
ENSG00000049618	ARID1B
ENSG00000049768	FOXP3
ENSG00000050344	NFE2L3
ENSG00000052850	ALX4
ENSG00000053254	FOXN3
ENSG00000054118	THRAP3
ENSG00000054267	ARID4B
ENSG00000054598	FOXC1
ENSG00000055609	KMT2C
ENSG00000057657	PRDM1
ENSG00000057935	MTA3
ENSG00000059728	MXD1
ENSG00000060138	YBX3
ENSG00000060339	CCAR1
ENSG00000060566	CREB3L3
ENSG00000061273	HDAC7
ENSG00000061337	LZTS1
ENSG00000061455	PRDM6
ENSG00000062370	ZNF112
ENSG00000063438	AHRR
ENSG00000063515	GSC2
ENSG00000063587	ZNF275
ENSG00000063978	RNF4
ENSG00000064195	DLX3
ENSG00000064218	DMRT3
ENSG00000064393	HIPK2
ENSG00000064489	BORCS8-MEF2B
ENSG00000064490	RFXANK
ENSG00000064655	EYA2
ENSG00000064703	DDX20
ENSG00000064835	POU1F1
ENSG00000064933	PMS1
ENSG00000064961	HMG20B
ENSG00000064995	TAF11
ENSG00000065029	ZNF76
ENSG00000065526	SPEN
ENSG00000065717	TLE2
ENSG00000065970	FOXJ2
ENSG00000065978	YBX1
ENSG00000066117	SMARCD1
ENSG00000066135	KDM4A
ENSG00000066136	NFYC
ENSG00000066336	SPI1
ENSG00000066422	ZBTB11
ENSG00000066827	ZFAT
ENSG00000067066	SP100
ENSG00000067082	KLF6
ENSG00000067560	RHOA
